,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
114,US-HI,Hawaii,2020-01-06,,,27.0,46.41,,25.88,,,76.23,,,,21.94,,,33.76
115,US-HI,Hawaii,2020-01-13,,,39.23,41.49,,31.89,,,69.43,,,,22.3,,,41.77
116,US-HI,Hawaii,2020-01-20,,,30.74,49.13,,32.18,,,69.25,,,,25.86,,,47.41
117,US-HI,Hawaii,2020-01-27,,,36.28,46.76,,24.66,,,61.78,,,,23.81,,,53.56
118,US-HI,Hawaii,2020-02-03,,,44.65,60.0,,20.76,,,81.62,,,,27.02,,,39.81
119,US-HI,Hawaii,2020-02-10,,,39.15,51.81,,38.28,,,86.06,,,,26.48,,,46.34
120,US-HI,Hawaii,2020-02-17,,,38.27,60.13,,28.77,,,91.49,,,,18.13,,,53.8
121,US-HI,Hawaii,2020-02-24,,,36.88,46.52,,34.33,,,82.55,,,,24.11,,,56.74
122,US-HI,Hawaii,2020-03-02,,,33.69,54.93,,29.73,,,91.45,,,,29.16,,,69.65
123,US-HI,Hawaii,2020-03-09,,,32.41,64.27,,31.58,,,79.22,,,,49.58,,,100.0
124,US-HI,Hawaii,2020-03-16,,,28.68,50.26,,37.77,,,84.34,,,,83.77,,,88.6
125,US-HI,Hawaii,2020-03-23,12.0,12.0,31.62,36.37,,42.81,,,57.92,,,,73.87,,,70.51
126,US-HI,Hawaii,2020-03-30,21.0,9.0,39.39,28.45,,36.11,,,39.67,,,,60.19,,,46.78
127,US-HI,Hawaii,2020-04-06,44.0,23.0,36.26,23.07,,26.64,,,26.92,,,,44.5,,,28.57
128,US-HI,Hawaii,2020-04-13,52.0,8.0,47.51,23.21,,22.67,,,28.07,,,,42.11,,,14.04
129,US-HI,Hawaii,2020-04-20,68.0,16.0,31.97,17.34,,19.78,,,16.25,,,,34.13,,,24.92
130,US-HI,Hawaii,2020-04-27,73.0,5.0,37.96,22.0,,22.28,,,30.81,,,,30.53,,,22.83
131,US-HI,Hawaii,2020-05-04,81.0,8.0,38.03,,,18.46,,,17.34,,,,28.25,,,15.66
132,US-HI,Hawaii,2020-05-11,82.0,1.0,37.09,16.99,,24.35,,,24.07,,,,31.71,,,
133,US-HI,Hawaii,2020-05-18,84.0,2.0,27.92,,,26.48,,,24.47,,,,22.45,,,
134,US-HI,Hawaii,2020-05-25,83.0,-1.0,46.53,20.45,,20.45,,,17.78,,,,36.16,,,
135,US-HI,Hawaii,2020-06-01,84.0,1.0,27.99,14.29,,22.93,,,19.36,,,,25.91,,,
136,US-HI,Hawaii,2020-06-08,91.0,7.0,34.94,13.62,,26.35,,,21.91,,,,29.31,,,17.47
137,US-HI,Hawaii,2020-06-15,97.0,6.0,37.62,15.82,,26.57,,,13.73,,,,29.56,,,18.21
138,US-HI,Hawaii,2020-06-22,111.0,14.0,30.68,19.55,,16.24,,,22.86,,,,34.89,,,
139,US-HI,Hawaii,2020-06-29,118.0,7.0,26.87,20.46,,14.96,,,24.73,,,,31.45,,,
140,US-HI,Hawaii,2020-07-06,125.0,7.0,22.45,21.55,,22.45,,,28.74,,,,35.62,,,18.56
