,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Adrenal crisis,symptom:Ageusia,symptom:Allergic conjunctivitis,symptom:Amenorrhea,symptom:Angular cheilitis,symptom:Anosmia,symptom:Aphonia,symptom:Asphyxia,symptom:Atheroma,symptom:Auditory hallucination,symptom:Balance disorder,symptom:Beau's lines,symptom:Burning Chest Pain,symptom:Cataplexy,symptom:Chorea,symptom:Cleft lip and cleft palate,symptom:Clouding of consciousness,symptom:Crackles,symptom:Crepitus,symptom:Croup,symptom:Cyanosis,symptom:Depersonalization,symptom:Dysautonomia,symptom:Dysgeusia,symptom:Dyspareunia,symptom:Dystonia,symptom:Dysuria,symptom:Epiphora,symptom:Esophagitis,symptom:Eye pain,symptom:Facial swelling,symptom:Fibrocystic breast changes,symptom:Focal seizure,symptom:Gastroparesis,symptom:Gingival recession,symptom:Globus pharyngis,symptom:Grandiosity,symptom:Hemolysis,symptom:Hemoptysis,symptom:Hepatic encephalopathy,symptom:Hepatotoxicity,symptom:Hydrocephalus,symptom:Hypercalcaemia,symptom:Hypercapnia,symptom:Hyperemesis gravidarum,symptom:Hypersomnia,symptom:Hyperventilation,symptom:Hypocalcaemia,symptom:Hypochondriasis,symptom:Hypomania,symptom:Kyphosis,symptom:Laryngitis,symptom:Male infertility,symptom:Mitral insufficiency,symptom:Muscle atrophy,symptom:Myoclonus,symptom:Nasal polyp,symptom:Neck mass,symptom:Neutropenia,symptom:Night terror,symptom:Nocturnal enuresis,symptom:Nystagmus,symptom:Onychorrhexis,symptom:Osteophyte,symptom:Papule,symptom:Pericarditis,symptom:Petechia,symptom:Photophobia,symptom:Polydipsia,symptom:Polyuria,symptom:Ptosis,symptom:Pulmonary edema,symptom:Rectal pain,symptom:Rectal prolapse,symptom:Rheum,symptom:Rumination,symptom:Sensitivity to sound,symptom:Shallow breathing,symptom:Spasticity,symptom:Splenomegaly,symptom:Stomach rumble,symptom:Stridor,symptom:Subdural hematoma,symptom:Tachypnea,symptom:Tenderness,symptom:Thyroid nodule,symptom:Trichoptilosis,symptom:Urethritis,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
114,US-HI,Hawaii,2020-01-06,,,,,,,27.0,,46.41,,,,,,,,,,,25.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.23,,,,,,,,,,,,,,,,,,,,,,,,,,21.94,,,,,,,,,,,,,33.76
115,US-HI,Hawaii,2020-01-13,,,,,,,39.23,,41.49,,,,,,,,,,,31.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.43,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,,,,,,,,41.77
116,US-HI,Hawaii,2020-01-20,,,,,,,30.74,,49.13,,,,,,,,,,,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.25,,,,,,,,,,,,,,,,,,,,,,,,,,25.86,,,,,,,,,,,,,47.41
117,US-HI,Hawaii,2020-01-27,,,,,,,36.28,,46.76,,,,,,,,,,,24.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.78,,,,,,,,,,,,,,,,,,,,,,,,,,23.81,,,,,,,,,,,,,53.56
118,US-HI,Hawaii,2020-02-03,,,,,,,44.65,,60.0,,,,,,,,,,,20.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.62,,,,,,,,,,,,,,,,,,,,,,,,,,27.02,,,,,,,,,,,,,39.81
119,US-HI,Hawaii,2020-02-10,,,,,,,39.15,,51.81,,,,,,,,,,,38.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.06,,,,,,,,,,,,,,,,,,,,,,,,,,26.48,,,,,,,,,,,,,46.34
120,US-HI,Hawaii,2020-02-17,,,,,,,38.27,,60.13,,,,,,,,,,,28.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.49,,,,,,,,,,,,,,,,,,,,,,,,,,18.13,,,,,,,,,,,,,53.8
121,US-HI,Hawaii,2020-02-24,,,,,,,36.88,,46.52,,,,,,,,,,,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.55,,,,,,,,,,,,,,,,,,,,,,,,,,24.11,,,,,,,,,,,,,56.74
122,US-HI,Hawaii,2020-03-02,,,,,,,33.69,,54.93,,,,,,,,,,,29.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.45,,,,,,,,,,,,,,,,,,,,,,,,,,29.16,,,,,,,,,,,,,69.65
123,US-HI,Hawaii,2020-03-09,,,,,,,32.41,,64.27,,,,,,,,,,,31.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.22,,,,,,,,,,,,,,,,,,,,,,,,,,49.58,,,,,,,,,,,,,100.0
